road_type,weather,is_rush_hour,actual_speed_kmh
primary,moderate_rain,1,29.45
secondary,moderate_rain,1,23.11
secondary,clear,0,35.3
primary,clear,0,42.63
secondary,clear,1,22.01
primary,clear,1,29.35
secondary,clear,0,36.81
primary,clear,0,43.87
residential,clear,0,23.77
primary,moderate_rain,0,43.29
primary,clear,0,42.7
primary,moderate_rain,0,43.14
primary,light_rain,0,41.86
secondary,clear,1,24.12
primary,light_rain,1,27.81
residential,light_rain,0,23.8
primary,clear,1,26.77
primary,clear,0,43.97
primary,clear,0,43.76
primary,heavy_rain,1,20.1
primary,light_rain,0,42.82
secondary,clear,0,33.86
secondary,light_rain,0,35.81
secondary,clear,0,36.49
secondary,clear,1,22.41
secondary,light_rain,1,23.96
primary,clear,1,30.43
secondary,moderate_rain,1,22.27
residential,light_rain,1,16.1
secondary,light_rain,1,23.96
secondary,clear,0,32.73
primary,moderate_rain,1,26.72
secondary,heavy_rain,0,21.91
secondary,clear,1,20.9
secondary,clear,0,36.63
residential,clear,1,13.87
primary,moderate_rain,1,28.87
primary,light_rain,1,29.8
secondary,clear,1,23.15
residential,heavy_rain,0,15.71
primary,clear,0,43.55
primary,moderate_rain,0,42.07
primary,clear,0,44.71
primary,clear,0,39.26
secondary,clear,0,33.62
secondary,clear,0,35.84
primary,light_rain,1,28.66
primary,clear,1,30.24
primary,clear,0,43.59
primary,clear,0,43.0
secondary,clear,0,34.55
residential,light_rain,0,28.03
residential,light_rain,0,26.84
primary,clear,0,43.94
residential,clear,0,25.12
secondary,clear,0,35.81
secondary,heavy_rain,0,24.64
secondary,heavy_rain,0,24.03
primary,light_rain,1,27.46
primary,heavy_rain,1,22.14
primary,moderate_rain,0,42.44
primary,moderate_rain,0,45.09
primary,clear,0,43.48
secondary,clear,0,34.63
secondary,clear,0,37.08
secondary,clear,0,35.45
primary,light_rain,0,42.61
residential,clear,0,23.2
residential,clear,1,17.84
secondary,clear,0,34.26
residential,clear,0,24.33
secondary,clear,0,34.26
residential,heavy_rain,0,17.37
primary,light_rain,1,26.28
primary,light_rain,0,42.09
primary,clear,0,44.67
primary,clear,0,41.33
primary,clear,0,43.46
secondary,heavy_rain,0,22.45
secondary,clear,0,34.39
secondary,clear,1,26.07
primary,moderate_rain,0,39.59
residential,clear,0,26.15
secondary,clear,0,34.28
primary,clear,1,28.33
secondary,clear,1,21.92
primary,clear,1,30.25
primary,clear,1,28.83
residential,light_rain,1,16.07
primary,moderate_rain,0,42.23
secondary,clear,1,23.33
residential,heavy_rain,1,8.26
secondary,clear,0,34.26
primary,clear,0,44.54
primary,clear,1,26.86
primary,light_rain,1,26.95
secondary,clear,1,22.95
secondary,light_rain,1,22.07
primary,moderate_rain,1,28.31
residential,clear,0,23.36
secondary,light_rain,0,33.78
primary,heavy_rain,0,28.81
secondary,clear,0,35.97
secondary,clear,0,36.87
primary,light_rain,0,42.02
primary,light_rain,0,45.24
residential,clear,1,16.57
secondary,clear,0,36.24
secondary,clear,1,26.49
secondary,clear,1,23.8
primary,clear,0,41.14
primary,heavy_rain,0,29.02
secondary,moderate_rain,1,22.05
primary,clear,1,28.71
primary,light_rain,0,45.39
residential,heavy_rain,0,14.88
residential,clear,0,25.45
secondary,clear,0,33.68
residential,clear,0,24.54
primary,moderate_rain,0,43.19
residential,clear,0,25.48
primary,flooded,1,14.22
residential,clear,0,24.03
residential,clear,1,17.32
secondary,clear,1,26.15
residential,clear,1,15.5
secondary,moderate_rain,0,36.95
primary,flooded,0,23.4
secondary,clear,1,25.64
secondary,flooded,1,12.26
primary,moderate_rain,0,43.82
secondary,clear,0,33.49
residential,light_rain,1,15.54
primary,clear,0,44.35
secondary,clear,0,35.44
residential,clear,1,16.63
residential,light_rain,0,20.79
residential,clear,0,24.35
secondary,moderate_rain,1,21.21
residential,moderate_rain,0,25.09
secondary,clear,0,34.71
primary,clear,0,42.26
secondary,clear,0,38.96
secondary,clear,1,25.15
primary,clear,0,44.78
secondary,clear,0,38.3
secondary,clear,0,36.2
primary,clear,0,42.04
secondary,clear,0,33.67
secondary,clear,0,36.45
secondary,moderate_rain,0,30.99
primary,flooded,0,21.48
primary,clear,0,39.94
primary,clear,1,29.27
residential,clear,0,26.28
primary,clear,0,43.62
secondary,clear,0,36.41
primary,light_rain,1,31.53
primary,heavy_rain,0,28.66
residential,clear,1,21.06
secondary,moderate_rain,0,34.4
primary,clear,1,30.54
secondary,clear,0,34.08
primary,clear,1,31.55
secondary,clear,1,25.15
secondary,clear,0,37.21
primary,clear,0,43.28
primary,clear,0,41.32
primary,clear,0,43.89
residential,light_rain,1,14.0
residential,heavy_rain,0,16.21
primary,clear,0,43.49
secondary,clear,0,38.57
primary,clear,0,43.68
primary,heavy_rain,1,19.67
secondary,clear,1,23.5
residential,clear,0,22.99
residential,clear,1,16.98
secondary,clear,1,23.74
primary,clear,0,41.75
secondary,heavy_rain,1,13.99
primary,heavy_rain,0,28.16
secondary,clear,0,35.1
primary,clear,0,42.51
secondary,clear,1,22.01
primary,clear,0,43.63
primary,heavy_rain,0,29.69
residential,clear,0,25.18
primary,clear,0,42.36
secondary,clear,1,24.48
primary,moderate_rain,0,41.78
primary,light_rain,0,40.63
primary,clear,0,44.75
primary,clear,0,43.73
residential,clear,0,24.82
primary,flooded,0,19.24
residential,clear,0,23.88
secondary,clear,0,38.03
secondary,clear,0,32.74
secondary,moderate_rain,0,33.71
secondary,clear,1,23.57
secondary,clear,0,35.48
primary,clear,1,26.87
primary,light_rain,0,42.67
residential,light_rain,0,22.01
residential,heavy_rain,0,16.86
residential,clear,0,24.02
secondary,clear,0,33.7
secondary,flooded,1,13.05
secondary,clear,0,34.65
secondary,light_rain,0,35.07
primary,light_rain,0,43.17
secondary,clear,1,25.49
primary,clear,1,27.3
primary,moderate_rain,0,43.45
residential,moderate_rain,0,24.37
primary,clear,0,42.63
primary,clear,1,27.39
primary,clear,1,30.03
residential,clear,1,15.47
secondary,clear,0,35.78
secondary,clear,0,37.89
residential,flooded,1,9.89
residential,moderate_rain,1,18.5
primary,light_rain,1,27.51
secondary,clear,0,36.14
secondary,clear,0,33.28
secondary,flooded,0,17.15
primary,clear,1,31.73
residential,clear,0,24.09
secondary,clear,0,36.67
primary,heavy_rain,0,30.4
secondary,heavy_rain,0,25.01
primary,clear,0,41.3
primary,heavy_rain,0,29.67
secondary,clear,0,34.77
primary,clear,1,30.75
secondary,moderate_rain,1,20.49
secondary,heavy_rain,0,23.95
primary,clear,1,29.46
residential,clear,0,22.01
primary,moderate_rain,1,27.03
primary,moderate_rain,1,25.61
primary,heavy_rain,0,27.79
primary,clear,0,44.02
primary,flooded,0,21.89
secondary,flooded,1,12.05
residential,clear,0,23.44
primary,moderate_rain,0,43.75
secondary,clear,0,34.97
secondary,clear,1,23.64
residential,light_rain,1,17.95
secondary,clear,0,33.51
primary,clear,1,29.46
primary,heavy_rain,1,20.1
secondary,clear,1,22.77
residential,clear,0,25.98
primary,heavy_rain,0,29.59
primary,clear,0,43.05
residential,clear,0,24.8
residential,clear,0,25.79
residential,clear,0,26.18
secondary,light_rain,0,34.45
primary,moderate_rain,0,43.75
secondary,clear,0,35.99
secondary,moderate_rain,0,31.4
primary,clear,1,27.01
secondary,clear,1,25.36
secondary,light_rain,0,33.99
primary,light_rain,1,28.83
secondary,clear,0,36.71
secondary,clear,1,23.58
residential,clear,0,25.06
primary,clear,0,41.9
primary,clear,0,43.75
secondary,light_rain,0,35.24
primary,clear,0,42.33
secondary,moderate_rain,0,32.7
secondary,clear,0,38.94
primary,clear,1,28.98
secondary,clear,0,33.97
secondary,clear,0,36.06
primary,heavy_rain,0,28.8
residential,clear,1,15.22
residential,clear,0,25.72
secondary,moderate_rain,0,32.8
secondary,light_rain,0,36.72
secondary,clear,0,35.74
residential,clear,0,24.58
secondary,light_rain,0,34.52
secondary,flooded,0,18.85
residential,heavy_rain,0,16.99
primary,clear,0,46.38
residential,flooded,0,14.2
primary,clear,0,43.93
primary,clear,1,27.71
primary,moderate_rain,0,41.85
residential,clear,1,17.57
residential,clear,0,23.77
secondary,clear,0,36.94
secondary,clear,1,22.13
secondary,light_rain,0,33.4
residential,light_rain,0,23.7
secondary,clear,0,36.12
primary,clear,0,41.99
primary,heavy_rain,1,16.76
secondary,moderate_rain,0,35.72
secondary,clear,0,34.33
primary,flooded,1,12.96
primary,light_rain,1,27.45
residential,clear,1,19.43
primary,clear,0,42.21
secondary,clear,1,23.4
residential,light_rain,1,15.87
secondary,clear,1,21.74
primary,clear,1,28.0
secondary,clear,1,21.64
residential,heavy_rain,0,18.15
secondary,clear,0,35.15
residential,heavy_rain,1,14.99
primary,heavy_rain,0,27.82
secondary,clear,0,33.71
secondary,clear,0,37.3
residential,clear,1,18.44
primary,heavy_rain,0,29.46
residential,clear,0,23.33
secondary,clear,0,37.62
primary,clear,0,43.09
primary,clear,0,42.55
residential,heavy_rain,0,18.43
primary,light_rain,1,28.55
primary,heavy_rain,1,17.72
primary,clear,1,29.18
residential,clear,0,23.83
secondary,flooded,0,12.99
secondary,clear,0,33.68
primary,heavy_rain,0,28.09
secondary,clear,0,33.27
secondary,clear,1,24.45
residential,light_rain,0,23.38
residential,flooded,0,13.22
primary,flooded,1,12.71
secondary,clear,0,36.36
primary,clear,1,27.2
secondary,clear,1,20.08
primary,light_rain,0,44.27
primary,light_rain,0,41.13
primary,clear,1,31.75
secondary,flooded,0,18.35
primary,light_rain,0,43.59
secondary,moderate_rain,1,24.54
secondary,clear,0,35.17
primary,clear,0,43.39
secondary,flooded,0,19.42
primary,clear,1,29.28
secondary,heavy_rain,0,22.31
secondary,flooded,0,18.38
primary,light_rain,0,39.24
primary,clear,0,45.18
primary,clear,1,31.13
residential,clear,1,18.65
secondary,clear,0,36.74
secondary,clear,0,34.87
secondary,clear,0,34.84
primary,clear,0,41.36
secondary,clear,0,37.62
secondary,clear,0,34.27
primary,clear,0,43.71
primary,clear,0,43.58
primary,light_rain,1,26.57
secondary,clear,1,20.97
residential,clear,0,25.01
primary,light_rain,0,41.73
secondary,moderate_rain,1,22.84
primary,clear,1,30.71
residential,light_rain,0,24.88
primary,flooded,1,15.7
secondary,moderate_rain,1,23.64
secondary,clear,0,34.53
secondary,light_rain,0,32.86
secondary,clear,0,35.4
primary,clear,0,43.33
primary,flooded,0,22.97
primary,clear,1,28.89
primary,heavy_rain,1,19.02
secondary,clear,0,34.66
primary,flooded,0,20.22
primary,clear,0,45.37
secondary,clear,0,36.71
residential,clear,0,23.18
secondary,clear,1,24.8
primary,clear,0,40.43
primary,moderate_rain,0,43.55
residential,clear,0,23.96
primary,moderate_rain,0,42.61
primary,clear,0,40.31
secondary,clear,0,33.2
secondary,flooded,0,18.2
secondary,clear,0,33.95
primary,light_rain,0,41.15
primary,light_rain,0,44.5
residential,clear,0,28.32
primary,heavy_rain,1,20.87
secondary,light_rain,0,32.72
secondary,clear,0,37.65
secondary,heavy_rain,0,21.06
primary,clear,0,42.74
primary,clear,1,29.2
secondary,flooded,0,20.39
residential,light_rain,1,17.91
residential,moderate_rain,0,23.65
primary,light_rain,0,40.99
primary,moderate_rain,1,29.86
residential,heavy_rain,0,15.91
secondary,clear,0,35.33
residential,clear,1,14.8
primary,clear,1,29.97
secondary,light_rain,0,35.09
secondary,clear,0,33.14
secondary,clear,0,36.55
secondary,clear,0,35.83
primary,flooded,0,22.71
secondary,light_rain,1,22.59
primary,clear,0,43.47
secondary,clear,1,23.69
residential,clear,0,24.78
primary,clear,0,43.46
residential,clear,1,18.73
primary,heavy_rain,0,30.49
secondary,flooded,0,15.73
residential,clear,0,26.48
primary,clear,1,30.9
primary,clear,0,42.97
secondary,clear,0,35.76
primary,clear,0,43.94
secondary,clear,0,33.73
residential,clear,1,16.28
secondary,moderate_rain,0,35.21
primary,light_rain,0,41.67
secondary,light_rain,0,35.82
secondary,clear,1,25.55
primary,heavy_rain,1,21.18
secondary,flooded,1,14.76
secondary,clear,0,34.86
secondary,clear,0,35.27
primary,clear,0,43.68
secondary,clear,1,23.5
primary,clear,1,29.93
primary,clear,1,26.55
residential,clear,0,25.31
secondary,clear,0,32.93
primary,clear,0,41.76
primary,flooded,1,15.66
primary,clear,0,42.9
primary,light_rain,1,29.63
primary,clear,0,42.87
primary,clear,0,44.86
secondary,clear,0,34.64
secondary,clear,0,32.07
secondary,clear,0,35.34
secondary,clear,0,31.75
primary,clear,0,41.02
residential,light_rain,0,23.22
residential,clear,1,15.34
residential,light_rain,1,15.72
residential,clear,0,23.44
residential,light_rain,0,22.43
secondary,clear,0,37.31
primary,light_rain,1,27.57
secondary,flooded,0,14.15
secondary,heavy_rain,0,22.86
secondary,clear,1,21.9
secondary,heavy_rain,0,22.07
primary,clear,1,30.18
primary,flooded,0,20.93
residential,clear,0,23.27
secondary,clear,0,35.67
secondary,clear,1,25.31
primary,clear,1,29.92
primary,light_rain,0,38.73
residential,heavy_rain,0,15.04
secondary,light_rain,0,34.43
secondary,light_rain,1,22.79
secondary,moderate_rain,0,33.59
secondary,clear,1,22.12
primary,clear,0,41.09
secondary,clear,0,38.01
secondary,clear,0,35.04
secondary,clear,1,24.55
secondary,clear,1,23.6
residential,clear,0,25.07
primary,clear,0,43.11
residential,heavy_rain,0,15.03
primary,clear,0,40.93
secondary,clear,1,24.17
primary,clear,0,43.48
primary,clear,1,30.52
secondary,clear,1,24.69
primary,clear,1,27.9
secondary,clear,1,25.29
residential,clear,0,26.15
primary,clear,1,30.15
secondary,clear,0,38.37
secondary,light_rain,0,37.43
secondary,clear,1,24.62
primary,clear,0,44.05
primary,clear,1,30.74
primary,moderate_rain,1,27.48
primary,clear,1,28.26
primary,light_rain,0,43.42
secondary,moderate_rain,0,32.8
residential,clear,0,25.89
residential,clear,1,17.09
secondary,clear,0,33.72
primary,clear,0,43.24
primary,clear,0,45.16
primary,clear,0,43.32
primary,clear,0,43.33
secondary,clear,0,35.49
secondary,moderate_rain,0,34.77
primary,clear,1,28.62
primary,heavy_rain,0,29.4
residential,flooded,0,10.93
secondary,flooded,0,16.3
primary,moderate_rain,1,27.35
residential,clear,0,25.7
residential,clear,0,25.24
primary,clear,0,43.0
primary,clear,0,44.24
secondary,moderate_rain,0,34.65
residential,flooded,0,12.07
residential,clear,1,15.3
primary,clear,0,41.97
primary,clear,0,41.0
secondary,clear,0,35.21
secondary,clear,0,33.71
primary,clear,1,28.37
residential,moderate_rain,0,24.15
secondary,clear,1,25.16
residential,heavy_rain,1,12.66
residential,light_rain,0,24.46
secondary,moderate_rain,1,24.87
secondary,clear,0,31.98
secondary,heavy_rain,0,26.21
primary,light_rain,0,43.45
secondary,clear,0,35.15
primary,clear,0,41.86
secondary,heavy_rain,0,22.74
primary,clear,0,44.11
primary,clear,0,44.15
primary,clear,0,44.2
primary,light_rain,0,41.32
secondary,moderate_rain,0,32.69
secondary,clear,0,35.29
secondary,clear,0,36.15
primary,flooded,0,21.6
primary,moderate_rain,0,44.29
primary,heavy_rain,0,28.93
primary,clear,0,43.2
residential,clear,1,17.86
primary,clear,0,45.03
primary,light_rain,0,40.39
primary,clear,0,41.52
primary,clear,0,42.73
secondary,clear,0,39.74
secondary,clear,0,34.61
primary,moderate_rain,0,41.89
primary,clear,0,44.13
primary,light_rain,1,30.05
primary,heavy_rain,0,29.13
primary,clear,0,44.95
residential,light_rain,1,14.75
secondary,flooded,0,16.35
secondary,flooded,1,13.54
secondary,clear,0,35.02
secondary,clear,0,33.11
secondary,clear,0,33.02
secondary,light_rain,1,21.94
secondary,light_rain,0,34.36
primary,light_rain,1,29.29
secondary,clear,0,34.51
secondary,clear,0,35.58
residential,clear,1,16.19
secondary,clear,0,36.84
secondary,light_rain,1,26.99
primary,clear,0,42.61
secondary,clear,1,24.31
primary,clear,0,43.8
primary,clear,0,43.41
primary,clear,1,30.1
secondary,clear,0,35.72
primary,clear,0,42.49
primary,clear,0,45.17
residential,clear,0,25.3
primary,light_rain,1,28.01
secondary,clear,0,38.66
secondary,light_rain,0,34.19
primary,light_rain,0,42.79
secondary,clear,1,23.85
primary,flooded,0,21.41
secondary,clear,0,35.67
secondary,light_rain,0,33.09
secondary,flooded,0,18.39
secondary,heavy_rain,1,13.13
primary,clear,0,41.25
primary,clear,0,45.94
secondary,clear,0,33.12
secondary,light_rain,1,20.22
residential,light_rain,0,22.7
residential,clear,0,27.61
residential,clear,0,22.31
secondary,light_rain,1,21.72
primary,clear,0,41.01
secondary,heavy_rain,0,22.99
secondary,moderate_rain,0,33.43
primary,clear,0,42.48
residential,light_rain,1,19.33
residential,clear,0,23.2
secondary,clear,1,23.44
primary,flooded,0,22.11
primary,heavy_rain,0,27.41
residential,clear,0,25.73
residential,clear,1,16.25
primary,clear,0,43.76
primary,clear,1,28.95
residential,clear,0,21.92
primary,clear,0,45.16
secondary,clear,1,26.7
residential,clear,1,16.58
primary,clear,0,41.85
secondary,flooded,0,19.76
primary,light_rain,0,45.25
primary,clear,0,42.95
residential,clear,0,24.67
secondary,clear,0,34.88
residential,clear,0,22.49
secondary,clear,0,34.56
primary,moderate_rain,1,30.93
primary,light_rain,0,42.16
primary,light_rain,0,40.85
primary,clear,1,29.86
primary,heavy_rain,0,27.88
primary,heavy_rain,0,28.78
secondary,clear,0,33.1
secondary,clear,0,33.45
secondary,clear,1,24.7
secondary,clear,0,35.17
primary,light_rain,0,41.25
primary,clear,0,43.38
secondary,clear,1,22.68
secondary,clear,0,33.82
primary,clear,0,44.95
residential,heavy_rain,0,17.89
secondary,clear,0,34.97
secondary,light_rain,0,34.58
primary,clear,0,43.19
secondary,clear,0,35.73
secondary,clear,0,33.8
secondary,light_rain,0,35.65
secondary,clear,0,35.53
residential,clear,1,16.46
secondary,clear,0,34.27
primary,clear,0,44.46
secondary,flooded,0,17.27
secondary,clear,0,33.95
secondary,clear,0,34.42
primary,clear,1,30.27
primary,heavy_rain,0,26.46
residential,clear,1,16.32
secondary,light_rain,1,24.76
residential,heavy_rain,0,16.46
secondary,clear,1,24.0
secondary,clear,0,36.63
secondary,clear,0,36.34
residential,moderate_rain,0,23.68
secondary,clear,0,34.8
secondary,clear,1,24.95
primary,light_rain,1,29.99
secondary,clear,1,23.46
secondary,clear,0,34.92
primary,clear,0,43.6
primary,clear,0,45.25
primary,clear,0,44.8
primary,clear,0,44.24
primary,heavy_rain,0,27.26
secondary,clear,0,34.59
residential,heavy_rain,0,16.38
secondary,light_rain,0,36.49
primary,clear,0,42.84
primary,light_rain,1,30.46
secondary,clear,0,34.14
primary,flooded,0,20.86
residential,heavy_rain,1,11.99
secondary,clear,1,25.94
secondary,clear,1,23.27
primary,clear,0,39.36
secondary,clear,0,32.65
primary,clear,1,29.56
residential,clear,1,14.64
secondary,light_rain,0,33.06
primary,clear,0,43.22
primary,moderate_rain,0,38.39
primary,moderate_rain,0,41.5
secondary,clear,0,33.25
primary,heavy_rain,0,26.63
secondary,clear,1,22.39
primary,clear,0,41.6
secondary,light_rain,1,23.86
residential,clear,0,26.79
secondary,clear,0,34.45
secondary,heavy_rain,0,22.5
primary,flooded,1,13.94
primary,light_rain,0,40.75
secondary,moderate_rain,0,32.15
primary,clear,1,26.65
secondary,clear,0,33.01
primary,light_rain,1,31.03
primary,clear,1,28.08
primary,clear,1,24.7
residential,clear,0,24.12
primary,light_rain,0,40.02
secondary,clear,1,23.68
primary,light_rain,0,42.34
secondary,clear,0,35.08
primary,clear,1,29.06
residential,clear,0,24.44
residential,clear,1,14.67
primary,heavy_rain,1,19.35
residential,clear,1,18.38
residential,clear,0,27.72
residential,clear,0,24.64
residential,clear,0,24.81
primary,clear,0,43.95
secondary,clear,0,37.24
primary,flooded,0,20.87
primary,light_rain,0,43.45
residential,clear,0,23.77
primary,clear,1,29.61
secondary,clear,0,36.46
residential,clear,0,23.06
residential,light_rain,0,23.75
residential,heavy_rain,1,12.7
primary,clear,0,44.12
primary,moderate_rain,0,43.62
secondary,clear,0,36.27
primary,clear,0,42.69
primary,clear,1,32.42
primary,clear,1,29.32
secondary,heavy_rain,0,18.81
secondary,clear,1,23.17
primary,clear,1,28.41
secondary,flooded,1,12.99
primary,heavy_rain,0,28.2
primary,moderate_rain,0,43.72
secondary,heavy_rain,0,24.23
secondary,clear,0,33.5
secondary,moderate_rain,0,33.87
primary,light_rain,1,27.42
residential,heavy_rain,1,11.54
secondary,moderate_rain,1,21.8
secondary,clear,0,35.11
secondary,moderate_rain,0,33.67
residential,clear,0,24.77
secondary,clear,0,38.08
secondary,clear,1,23.05
residential,heavy_rain,0,13.81
secondary,clear,1,25.11
secondary,clear,0,36.51
secondary,clear,0,32.03
primary,flooded,0,20.55
primary,clear,0,43.85
secondary,moderate_rain,0,34.87
residential,heavy_rain,0,16.71
residential,clear,0,25.03
primary,clear,1,27.71
secondary,light_rain,1,19.56
primary,heavy_rain,1,22.54
residential,moderate_rain,1,14.96
residential,clear,1,17.11
secondary,heavy_rain,0,23.16
residential,clear,0,26.35
secondary,clear,0,35.17
secondary,moderate_rain,1,23.2
primary,clear,0,39.25
secondary,moderate_rain,0,32.83
secondary,clear,1,24.71
secondary,heavy_rain,0,24.38
primary,clear,1,27.69
residential,clear,1,14.48
primary,moderate_rain,0,42.26
secondary,clear,0,30.64
secondary,clear,1,21.87
secondary,flooded,0,20.14
secondary,clear,1,25.76
primary,flooded,1,15.29
primary,clear,0,43.66
secondary,clear,0,32.07
secondary,moderate_rain,0,32.97
primary,light_rain,0,41.97
secondary,clear,0,33.92
secondary,clear,1,23.06
secondary,moderate_rain,0,36.03
residential,clear,1,16.04
primary,clear,0,42.69
primary,clear,0,44.31
secondary,clear,0,32.87
secondary,clear,1,22.33
secondary,clear,0,33.89
residential,clear,0,25.08
residential,clear,1,16.33
residential,clear,0,24.53
secondary,light_rain,0,33.36
secondary,clear,0,33.39
secondary,heavy_rain,1,16.68
primary,light_rain,0,41.9
secondary,clear,0,35.93
primary,light_rain,0,40.74
residential,clear,1,15.85
secondary,moderate_rain,0,33.75
secondary,flooded,0,17.31
primary,clear,0,44.33
primary,light_rain,0,41.76
primary,clear,1,30.24
secondary,clear,0,35.56
primary,heavy_rain,1,19.3
secondary,clear,1,22.16
residential,clear,1,17.99
residential,clear,0,23.61
secondary,light_rain,1,23.13
primary,clear,0,43.12
residential,heavy_rain,1,10.95
residential,clear,0,24.42
primary,clear,1,27.88
secondary,light_rain,0,31.93
primary,clear,1,31.22
residential,light_rain,1,15.8
residential,clear,1,16.66
primary,clear,1,28.92
residential,clear,0,26.64
secondary,heavy_rain,0,26.3
residential,clear,1,17.09
secondary,moderate_rain,0,33.85
residential,clear,0,23.31
primary,clear,0,41.03
primary,clear,0,40.54
primary,heavy_rain,0,27.69
residential,light_rain,0,21.41
residential,light_rain,0,26.16
residential,clear,0,25.63
residential,clear,0,24.62
primary,clear,0,44.86
primary,heavy_rain,0,27.27
primary,clear,0,41.97
primary,clear,1,26.22
primary,clear,0,44.36
secondary,clear,1,22.37
primary,clear,1,29.14
primary,heavy_rain,0,30.38
primary,clear,0,45.26
primary,heavy_rain,0,28.84
residential,moderate_rain,0,24.92
secondary,clear,0,33.64
residential,clear,0,27.53
secondary,clear,0,34.75
primary,heavy_rain,0,29.0
secondary,clear,1,22.98
primary,clear,0,45.0
primary,clear,1,29.42
primary,clear,0,44.34
primary,clear,0,43.73
primary,clear,0,42.87
primary,moderate_rain,1,29.75
secondary,moderate_rain,0,34.6
primary,clear,0,41.76
primary,clear,1,27.63
residential,heavy_rain,0,16.94
primary,clear,0,44.56
primary,heavy_rain,1,21.92
residential,clear,1,14.18
primary,light_rain,0,42.45
primary,clear,0,43.93
secondary,clear,1,24.03
primary,heavy_rain,1,20.98
secondary,clear,0,35.98
residential,clear,1,15.37
primary,clear,0,41.68
secondary,moderate_rain,0,34.55
secondary,clear,0,36.49
primary,moderate_rain,0,42.28
secondary,clear,0,32.63
primary,clear,0,41.63
secondary,moderate_rain,0,35.12
primary,clear,0,42.68
secondary,clear,0,35.18
primary,clear,1,30.71
residential,clear,1,15.05
primary,light_rain,0,41.79
secondary,clear,1,22.81
secondary,clear,0,35.53
secondary,clear,0,36.16
secondary,clear,1,21.37
secondary,clear,0,34.99
secondary,flooded,0,18.8
residential,heavy_rain,0,13.93
primary,clear,0,43.1
secondary,clear,0,33.18
residential,heavy_rain,1,10.3
residential,clear,0,21.24
residential,clear,1,18.94
primary,moderate_rain,1,27.82
primary,clear,0,41.99
secondary,clear,0,35.49
secondary,flooded,0,15.94
secondary,light_rain,0,32.65
secondary,clear,0,37.27
residential,clear,1,19.56
primary,clear,1,28.23
residential,moderate_rain,0,25.95
secondary,clear,0,35.53
primary,clear,0,41.08
secondary,heavy_rain,0,22.01
secondary,clear,1,25.92
primary,clear,1,26.98
primary,clear,0,46.62
residential,clear,0,24.14
primary,clear,0,45.57
secondary,heavy_rain,0,22.94
secondary,heavy_rain,0,24.6
secondary,clear,0,37.09
secondary,clear,0,37.08
primary,clear,0,42.32
secondary,clear,0,33.71
primary,clear,0,43.08
secondary,heavy_rain,0,21.45
primary,clear,0,43.56
secondary,clear,0,33.77
primary,clear,0,44.82
primary,clear,1,28.26
primary,clear,0,40.59
primary,clear,0,45.3
residential,clear,1,17.13
primary,light_rain,0,42.45
residential,clear,1,18.49
residential,clear,0,26.31
secondary,clear,0,33.86
primary,heavy_rain,0,28.2
primary,clear,0,41.53
secondary,clear,0,32.8
primary,clear,0,44.07
primary,light_rain,1,29.17
secondary,clear,0,36.14
residential,clear,0,26.92
secondary,clear,0,36.16
primary,clear,1,30.41
secondary,clear,1,20.47
primary,clear,1,28.66
primary,moderate_rain,0,43.52
residential,light_rain,0,22.79
primary,clear,0,43.34
primary,clear,0,43.98
primary,clear,1,29.78
residential,clear,1,17.4
secondary,heavy_rain,0,24.3
secondary,flooded,0,17.77
secondary,clear,0,32.81
primary,clear,0,43.96
secondary,clear,0,35.43
primary,light_rain,0,40.23
primary,light_rain,1,30.65
secondary,moderate_rain,0,34.88
residential,moderate_rain,1,14.34
primary,clear,0,41.97
primary,light_rain,0,41.56
primary,light_rain,0,41.56
primary,clear,0,43.64
residential,clear,0,23.54
secondary,light_rain,0,36.05
secondary,clear,0,36.57
secondary,light_rain,1,24.09
primary,light_rain,0,42.48
secondary,light_rain,1,24.56
secondary,light_rain,0,33.95
secondary,clear,0,33.91
residential,light_rain,0,26.33
secondary,clear,1,24.07
primary,clear,0,42.17
residential,clear,0,24.37
primary,clear,0,42.1
primary,clear,0,46.23
primary,flooded,1,14.56
primary,clear,0,43.44
secondary,clear,0,36.08
secondary,clear,1,21.77
residential,clear,0,26.64
secondary,moderate_rain,0,33.17
secondary,clear,0,37.75
primary,light_rain,1,28.11
primary,light_rain,1,30.14
secondary,clear,0,31.25
secondary,heavy_rain,1,14.01
residential,clear,0,24.56
primary,clear,0,40.15
primary,heavy_rain,0,29.78
secondary,heavy_rain,0,23.87
primary,clear,0,41.71
primary,clear,1,29.09
secondary,clear,0,36.21
primary,clear,1,25.96
secondary,flooded,0,15.59
primary,clear,0,42.7
primary,clear,0,43.24
primary,heavy_rain,0,28.79
residential,clear,1,18.18
primary,clear,0,43.92
secondary,heavy_rain,1,16.81
primary,moderate_rain,1,26.27
secondary,moderate_rain,0,34.3
primary,clear,0,42.74
secondary,moderate_rain,0,36.28
secondary,clear,0,35.26
residential,clear,0,24.0
primary,flooded,0,22.88
primary,clear,0,44.04
primary,moderate_rain,1,27.12
residential,clear,0,24.48
secondary,clear,0,34.5
secondary,moderate_rain,0,35.92
primary,clear,1,29.42
primary,light_rain,0,43.5
primary,clear,0,42.46
residential,heavy_rain,1,11.77
secondary,clear,1,25.55
residential,clear,1,16.31
primary,clear,0,43.37
secondary,heavy_rain,1,13.72
secondary,light_rain,0,33.21
